"","ID","Gender_MF","Gender","PCG_IRE","SCG_IRE","SCB_IRE","SCC_IRE","PCG_Educ","SCG_Educ","PCG_father_educ","PCG_mother_educ","SCG_father_educ","SCG_mother_educ","Agreeable_W3_YP","Extravert_W3_YP","Openness_W3_YP","Emo_Stability_W3_YP","Conscientious_W3_YP","Agreeable_W2_PCG","Extravert_W2_PCG","Openness_W2_PCG","Emo_Stability_W2_PCG","Conscientious_W2_PCG","Agreeable_W3_PCG","Extravert_W3_PCG","Openness_W3_PCG","Emo_Stability_W3_PCG","Conscientious_W3_PCG","Agreeable_W3_SCG","Extravert_W3_SCG","Openness_W3_SCG","Emo_Stability_W3_SCG","Conscientious_W3_SCG","English","Maths","Irish","History","French","Spanish","German","Arts_Craft_Design","Music","Home_Econ","Metalwork","Mater_Tech","Technology","Tech_Graphs","Business","Religious_Ed","CSPE","Science","Geography","Discussed_exams","Discussed_friends","Discussed_future","Discussed_teachers","Discussed_workload","Discussed_subjects","PCG_future_educ","SCG_future_educ","DEIS_binary","Progress_to_HEI","School_Type","Grinds"
"1896",2712000,1,1,1,NA,1,1,6,NA,2,3,NA,NA,5.5,5,5,4,6,7,7,3,3.5,4,7,6.5,4.5,4,7,NA,NA,NA,NA,NA,4,4,4,3,NA,NA,2,NA,NA,NA,NA,3,NA,NA,3,3,4,4,3,5,5,5,5,5,5,6,NA,0,5,2,1
"1897",2713000,1,1,1,0,0,0,5,6,1,1,3,3,4,6.5,6.5,4,4,7,6.5,4.5,6.5,1,7,7,7,4,3.5,5.5,4,6.5,6.5,6.5,4,3,3,4,5,3,NA,NA,NA,NA,3,NA,NA,NA,3,2,2,3,4,5,5,4,5,5,5,6,6,0,5,2,1
"1898",2714000,1,1,1,1,1,1,4,3,3,1,1,1,4,6,6.5,3.5,4,1.5,7,7,4,1.5,3.5,7,6,4.5,3.5,4,3.5,5,3.5,4,3,3,3,4,NA,NA,2,NA,NA,NA,NA,NA,NA,3,3,3,3,5,4,3,3,3,1,1,5,5,5,0,5,2,2
"1899",2715000,1,1,1,NA,1,1,4,NA,1,1,NA,NA,3.5,4,5.5,5,6,3.5,5,5,2,5.5,6.5,3,6.5,6.5,4.5,NA,NA,NA,NA,NA,3,4,3,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,5,4,5,5,5,5,6,NA,0,4,2,2
"1900",2717000,1,1,1,1,1,1,3,5,1,3,2,3,6,6.5,4,7,6,7,1.5,6.5,3,1.5,7,7,6,7,7,7,7,7,7,7,3,3,2,NA,3,NA,NA,NA,NA,NA,NA,3,NA,3,3,NA,3,4,4,NA,NA,NA,NA,NA,NA,NA,5,1,5,3,1
"1901",2719000,1,1,1,NA,1,1,3,NA,2,2,NA,NA,5,5.5,4.5,5.5,5.5,7,5.5,4,7,6.5,6.5,4.5,6,7,3.5,NA,NA,NA,NA,NA,2,2,2,2,NA,1,NA,NA,NA,NA,NA,3,NA,2,NA,NA,3,3,2,5,2,4,4,5,2,5,NA,0,5,2,2
"1902",2720000,1,1,1,NA,1,1,3,NA,1,1,NA,NA,3.5,4,6,5.5,6,2,6,4.5,2.5,3,4.5,6.5,7,7,4,NA,NA,NA,NA,NA,4,2,3,4,NA,1,NA,NA,NA,NA,NA,3,NA,3,NA,NA,2,3,3,5,2,3,4,5,5,5,NA,0,5,2,1
"1903",2721000,1,1,1,NA,1,1,3,NA,1,1,NA,NA,4,4.5,5,4.5,6.5,7,4,7,7,7,7,4,6.5,7,7,NA,NA,NA,NA,NA,4,3,3,5,NA,3,NA,NA,NA,3,NA,NA,NA,NA,3,3,3,4,3,2,2,2,2,3,2,5,NA,0,5,2,2
"1904",2722000,1,1,1,1,1,1,4,2,1,1,1,1,4,4,4,5,7,7,6,6.5,7,7,7,4.5,7,7,7,6,5,6.5,7,7,3,3,4,3,NA,3,NA,NA,NA,NA,NA,4,NA,NA,3,2,3,4,4,3,2,3,2,3,3,6,5,0,5,2,2
"1905",2726000,1,1,1,NA,1,1,4,NA,2,2,NA,NA,5,6,5.5,2.5,6,6.5,1.5,1.5,6.5,5.5,5,5,5,6.5,7,NA,NA,NA,NA,NA,2,4,3,4,NA,3,NA,NA,NA,3,NA,NA,NA,NA,2,2,1,3,4,4,3,4,3,4,4,6,NA,0,5,2,1
"1906",2731000,1,1,1,1,1,1,5,5,3,4,3,4,4.5,6,6,7,6.5,6.5,7,3.5,5.5,6.5,5,7,6.5,6,6,4.5,6,5,5.5,5.5,4,3,2,4,3,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,3,NA,3,3,3,2,3,3,4,6,5,0,4,2,2
"1907",2732000,1,1,0,NA,1,1,3,NA,2,2,NA,NA,3,6.5,6,5,6.5,6,6,7,3.5,5,6,6,6,7,5,NA,NA,NA,NA,NA,4,3,4,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,3,3,4,4,3,4,4,4,4,5,NA,0,4,2,2
"1908",2733000,1,1,1,NA,1,1,5,NA,3,3,NA,NA,4.5,5.5,7,6.5,4,5,3,4.5,3.5,7,5,3.5,4,6,6,NA,NA,NA,NA,NA,5,5,4,5,5,NA,NA,3,NA,NA,NA,3,NA,3,NA,NA,NA,5,5,4,4,3,3,5,5,6,NA,0,4,2,2
"1909",2734000,1,1,1,1,1,1,5,6,2,3,2,4,4,6,5.5,7,4.5,7,3.5,4,7,4.5,7,4.5,4.5,7,4.5,5,NA,5,6,4.5,5,5,NA,5,NA,NA,4,NA,NA,NA,NA,4,NA,NA,3,NA,4,5,5,5,5,5,4,5,5,6,6,0,4,2,1
"1910",2735000,1,1,1,NA,0,1,3,NA,1,2,NA,NA,4.5,4.5,5.5,5.5,6.5,2.5,5,2.5,7,7,4,5.5,4,6,5.5,NA,NA,NA,NA,NA,2,3,2,2,3,NA,NA,NA,NA,NA,2,NA,NA,NA,2,2,3,2,3,5,3,5,3,5,4,6,NA,0,4,5,1
"1911",2740000,1,1,1,1,1,1,4,3,2,1,NA,1,4.5,5.5,5.5,5.5,5,7,4.5,2.5,7,5,6.5,6,6,6.5,4,6.5,6,6,6.5,4,2,4,3,NA,4,NA,NA,NA,NA,NA,NA,3,NA,3,2,NA,2,3,NA,4,4,4,5,5,5,3,3,NA,NA,NA,1
"1912",2741000,1,1,1,1,1,1,3,2,1,3,1,3,5,4,5,4.5,4,1.5,7,1,4,2,2.5,7,3.5,6,2,4.5,6.5,5.5,6.5,2.5,3,4,3,3,NA,NA,NA,NA,NA,NA,NA,3,2,NA,NA,NA,1,2,3,4,3,2,4,4,4,4,3,0,5,2,2
"1913",2742000,1,1,1,1,1,1,3,3,1,2,2,1,4.5,4,6,5.5,7,6,1.5,3,3.5,2.5,6,3.5,6.5,6.5,7,4.5,3.5,4.5,5.5,6.5,4,5,5,4,5,NA,NA,NA,NA,NA,NA,NA,2,NA,4,4,3,4,4,4,4,5,5,5,5,6,6,0,4,2,1
"1914",2743000,1,1,1,1,1,1,4,4,1,1,1,1,6.5,1.5,3.5,5,5.5,3.5,3.5,3.5,1.5,1.5,5,1,2.5,2,4.5,5.5,3,5.5,4,5,5,1,4,4,NA,NA,3,NA,NA,NA,NA,4,NA,NA,2,NA,3,4,4,3,4,3,2,3,3,5,5,0,6,3,2
"1915",2744000,1,1,1,1,1,1,3,5,4,3,1,2,5.5,5.5,7,1,7,1,4.5,2.5,1,3.5,5,6.5,5,2,6.5,3.5,5.5,4,2.5,3.5,4,4,4,3,NA,NA,2,NA,NA,NA,NA,NA,NA,3,3,NA,4,3,NA,5,5,5,5,5,5,4,4,NA,NA,NA,1
"1916",2746000,1,1,1,1,1,1,5,4,2,1,1,NA,5,3.5,5,3,5,7,3.5,1.5,3,6.5,6.5,3.5,5,5,7,7,4.5,4.5,5,7,3,4,3,5,3,NA,NA,NA,NA,NA,NA,3,NA,3,NA,NA,3,4,5,2,4,4,3,5,4,6,5,NA,NA,NA,2
"1917",2747000,1,1,1,1,1,1,6,3,1,3,2,3,4.5,5,5,4.5,5.5,7,1,3.5,1,7,7,3.5,6,6.5,7,5,5.5,6,4.5,7,4,4,4,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,4,4,4,4,5,4,4,4,4,5,5,6,0,5,1,1
"1918",2751000,1,1,1,NA,1,1,3,NA,1,2,NA,NA,5.5,4.5,5,5,5,3.5,5,7,4.5,7,6.5,4,6,4,4.5,NA,NA,NA,NA,NA,2,4,4,4,4,NA,NA,NA,NA,NA,3,3,NA,3,NA,NA,3,4,4,4,4,4,5,5,4,5,NA,NA,NA,NA,2
"1919",2753000,1,1,1,NA,1,1,5,5,1,1,3,4,5,3.5,6.5,5.5,7,6,1,5.5,2,5.5,6.5,4,6.5,7,6.5,5.5,4.5,5.5,6,5,4,5,3,4,NA,NA,3,NA,3,NA,NA,NA,NA,NA,3,NA,4,4,4,5,3,4,5,4,5,6,6,0,4,2,2
"1920",2754000,1,1,1,NA,1,1,6,NA,3,3,NA,NA,5.5,3,6,5,5.5,1.5,5,3.5,4,1.5,7,4,7,7,4,NA,NA,NA,NA,NA,5,5,3,4,4,NA,NA,NA,3,NA,NA,NA,NA,3,NA,NA,3,4,5,3,3,3,4,4,4,6,NA,0,4,2,1
"1921",2758000,1,1,1,1,1,1,6,5,1,2,3,3,6,6,6,5.5,6.5,7,7,1,7,7,7,7,7,7,7,6.5,7,7,7,7,5,4,4,4,NA,2,NA,NA,3,NA,NA,NA,NA,NA,3,3,3,4,4,4,3,4,3,4,4,6,6,0,5,1,2
"1922",2759000,1,1,1,NA,1,1,6,NA,2,1,NA,NA,4,5,7,6,5.5,4.5,5,7,5.5,3,5,5,7,4,7,NA,NA,NA,NA,NA,4,3,4,3,4,NA,NA,NA,NA,NA,NA,4,NA,3,NA,NA,3,4,4,5,1,5,4,5,5,6,NA,NA,NA,NA,2
"1923",2760000,1,1,1,NA,1,1,3,NA,1,2,NA,NA,5.5,3.5,6,6.5,6,2,7,3.5,3.5,6.5,6,6,6.5,6.5,6,NA,NA,NA,NA,NA,2,4,3,4,5,NA,NA,2,NA,NA,NA,NA,NA,2,NA,NA,2,2,3,4,4,4,3,3,3,5,NA,0,4,2,1
"1924",2761000,1,1,1,NA,1,1,5,NA,4,3,NA,NA,4.5,2.5,4,5.5,4.5,6,2.5,3.5,7,6.5,6.5,2,6,7,7,NA,NA,NA,NA,NA,3,5,4,5,3,NA,NA,NA,NA,NA,NA,NA,2,NA,4,NA,4,4,3,5,2,4,2,4,4,6,NA,0,4,2,1
"1925",2762000,1,1,0,NA,1,1,6,NA,4,4,NA,NA,5.5,2.5,6,6.5,4,3,2,4.5,3,7,3.5,1,5.5,5,7,NA,NA,NA,NA,NA,4,4,NA,3,3,NA,NA,4,NA,NA,NA,NA,NA,NA,3,NA,3,4,4,4,1,3,2,3,5,5,NA,0,4,2,1
"1926",2763000,1,1,1,1,1,1,5,3,4,3,1,1,4,3.5,3,6,6,7,7,7,7,1.5,6.5,6.5,6.5,7,6.5,5,7,7,5,5,3,4,4,3,NA,NA,3,NA,NA,NA,3,3,NA,3,NA,NA,3,4,5,5,5,5,4,5,5,5,6,NA,NA,NA,1
"1927",2764000,1,1,1,1,1,1,3,2,1,1,2,2,5.5,3.5,4.5,5,5.5,7,5,7,6.5,7,7,5.5,4.5,6,4.5,6.5,3.5,6,6.5,6.5,4,5,3,4,NA,NA,3,NA,NA,NA,NA,NA,NA,3,3,NA,3,4,4,3,1,2,2,2,2,5,6,0,4,2,2
"1928",2765000,1,1,1,1,1,1,5,2,1,1,NA,NA,4,4,5.5,5.5,6,1,7,7,3.5,1.5,4.5,7,6.5,7,4.5,4.5,6,6,6,7,4,4,2,3,2,NA,NA,NA,NA,NA,NA,3,NA,2,NA,NA,4,4,4,3,1,3,3,5,5,5,5,1,4,3,1
"1929",2766000,1,1,1,1,1,1,5,5,4,2,4,2,4,6,6.5,5.5,5.5,5,7,6,6,2.5,4.5,6,5,6,5,6.5,4.5,5,6.5,6,3,5,3,4,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,4,3,4,5,4,4,3,3,4,3,3,5,6,0,6,1,2
"1930",2768000,1,1,1,NA,1,1,3,NA,2,3,NA,NA,4.5,7,7,7,4.5,7,7,7,6.5,3.5,7,7,7,7,7,NA,NA,NA,NA,NA,4,5,4,4,NA,2,NA,4,NA,NA,NA,NA,NA,NA,3,2,3,4,4,2,2,2,4,4,4,6,NA,0,6,1,1
