"ID","Gender_MF","Gender","PCG_IRE","SCG_IRE","SCB_IRE","SCC_IRE","PCG_Educ","SCG_Educ","PCG_father_educ","PCG_mother_educ","SCG_father_educ","SCG_mother_educ","Agreeable_W3_YP","Extravert_W3_YP","Openness_W3_YP","Emo_Stability_W3_YP","Conscientious_W3_YP","Agreeable_W2_PCG","Extravert_W2_PCG","Openness_W2_PCG","Emo_Stability_W2_PCG","Conscientious_W2_PCG","Agreeable_W3_PCG","Extravert_W3_PCG","Openness_W3_PCG","Emo_Stability_W3_PCG","Conscientious_W3_PCG","Agreeable_W3_SCG","Extravert_W3_SCG","Openness_W3_SCG","Emo_Stability_W3_SCG","Conscientious_W3_SCG","English","Maths","Irish","History","French","Spanish","German","Arts_Craft_Design","Music","Home_Econ","Metalwork","Mater_Tech","Technology","Tech_Graphs","Business","Religious_Ed","CSPE","Science","Geography","Discussed_exams","Discussed_friends","Discussed_future","Discussed_teachers","Discussed_workload","Discussed_subjects","PCG_future_educ","SCG_future_educ","DEIS_binary","Progress_to_HEI","School_Type","Grinds","Gender_MF_2","History_Grade","English_Grade","Maths_Grade","Irish_Grade","PH_beha_W1","PH_intell_W1","PH_phys_W1","PH_free_anx_W1","PH_pop_W1","PH_happi_W1","PH_beha_W2","PH_intell_W2","PH_phys_W2","PH_free_anx_W2","PH_pop_W2","PH_happi_W2","TC_reading","TC_writing","TC_comprehension","TC_maths","TC_imagin_creat","TC_oral_comm","TC_prob_solving","Discussed_subjects_PCG","Discussed_workload_PCG","Discussed_teachers_PCG","Discussed_future_PCG","Discussed_friends_PCG","Discussed_exams_PCG","Discussed_subjects_YP","Discussed_workload_YP","Discussed_teachers_YP","Discussed_future_YP","Discussed_friends_YP","Discussed_exams_YP"
4352000,2,0,1,0,1,1,3,4,1,1,1,1,4,4.5,7,6,7,6.5,6.5,7,7,7,7,5,6.5,6,6.5,6,4,5,6,5.5,3,3,3,3,3,NA,NA,4,NA,NA,NA,NA,NA,NA,3,3,4,3,3,4,2,4,5,5,5,5,5,0,4,4,2,"Female","C","C","C","C",13,16,8,10,11,6,14,14,11,11,11,10,3,3,2,3,2,3,3,5,5,5,4,2,4,5,4,3,2,3,4
4353000,2,0,1,NA,1,1,5,NA,1,2,NA,NA,4.5,6,6.5,3.5,4,3,3,2.5,6.5,4.5,6.5,5,7,4.5,6,NA,NA,NA,NA,NA,4,3,4,3,1,NA,NA,4,NA,NA,NA,NA,NA,NA,3,2,3,4,4,3,3,2,3,3,3,5,NA,0,4,2,2,"Female","C","B","C","B",13,11,8,12,9,10,12,8,8,11,9,10,2,2,2,2,3,2,2,3,3,3,2,3,3,4,4,4,3,4,3
4355000,2,0,1,0,1,1,4,2,1,1,1,1,4.5,6,7,4,6.5,6.5,5,6,3.5,5.5,6.5,3,6,3,6,6,5,4,7,5,3,2,3,3,3,NA,NA,NA,2,3,NA,NA,NA,NA,NA,3,3,2,3,3,4,3,5,5,5,5,5,0,4,2,2,"Female","C","C","D","C",14,15,10,13,11,10,14,16,9,13,11,10,3,3,3,2,2,2,2,5,5,5,3,4,3,5,5,5,4,4,4
4357000,2,0,1,NA,1,1,3,NA,1,1,NA,NA,6,4.5,5,5.5,4.5,4,4.5,6.5,0.5,1.5,6.5,5,6.5,4.5,6,NA,NA,NA,NA,NA,3,4,2,3,3,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,3,4,3,2,4,3,4,5,5,5,5,NA,NA,NA,NA,1,"Female","C","C","B","D",13,10,7,10,11,9,13,8,0,8,8,6,2,2,2,2,2,2,2,5,5,5,4,3,4,4,4,4,4,4,3
4360000,2,0,0,NA,1,1,4,NA,1,1,NA,NA,4.5,5,6,3,7,6,6,6,4.5,5.5,7,4.5,5.5,3,6,NA,NA,NA,NA,NA,4,4,2,3,4,NA,NA,1,NA,3,NA,NA,NA,NA,NA,NA,3,3,3,5,5,5,5,5,5,NA,NA,NA,NA,NA,2,"Female","C","B","B","D",12,14,7,11,9,10,14,11,10,13,9,9,2,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5
4362000,2,0,1,NA,1,1,5,NA,2,3,NA,NA,4,5.5,3,3,3.5,7,3.5,3.5,6,7,7,3.5,6,5.5,7,NA,NA,NA,NA,NA,5,4,3,4,3,NA,NA,2,NA,NA,NA,NA,NA,NA,3,3,4,3,3,5,4,3,4,3,5,6,NA,0,NA,2,1,"Female","B","A","B","C",NA,NA,NA,NA,NA,NA,14,12,4,8,10,7,2,2,2,2,2,2,2,5,3,4,3,4,5,4,5,4,4,5,5
4363000,2,0,0,0,0,0,4,4,1,1,3,1,4,4.5,6,4.5,5.5,7,1.5,4.5,6.5,3.5,7,7,6,7,7,7,7,4.5,7,7,4,4,3,4,3,NA,NA,NA,NA,4,NA,NA,NA,NA,3,4,4,4,5,5,4,4,5,4,4,5,6,NA,NA,NA,2,"Female","B","B","B","C",9,10,3,8,6,3,13,14,8,12,8,10,2,2,1,3,2,2,2,4,4,5,4,4,5,5,4,4,5,4,4
4366000,2,0,1,NA,1,1,3,NA,2,2,NA,NA,5.5,5,4.5,3,5,7,7,7,7,3.5,6.5,6,7,7,4.5,NA,NA,NA,NA,NA,2,2,3,4,NA,2,NA,NA,4,3,NA,NA,NA,NA,NA,3,4,4,4,5,5,5,5,5,5,6,NA,0,6,2,2,"Female","B","D","D","C",14,15,10,13,11,10,13,14,11,12,10,10,3,2,3,2,3,3,2,5,5,5,5,5,5,5,5,5,4,4,5
4368000,2,0,1,NA,1,1,4,NA,4,2,NA,NA,4,5,6,3,7,5.5,0.5,7,5,4,7,3,6.5,5.5,7,NA,NA,NA,NA,NA,4,3,4,4,NA,NA,3,NA,3,3,NA,NA,NA,NA,NA,NA,2,3,3,4,5,4,5,5,5,5,NA,0,4,2,1,"Female","B","B","C","B",13,15,9,13,10,10,13,14,7,9,5,9,2,1,2,2,2,2,1,5,5,5,4,5,4,5,5,5,3,3,4
4369000,2,0,1,NA,1,1,3,NA,4,4,NA,NA,4.5,5.5,5,5.5,6,7,2,7,4,1.5,4,5,4.5,2.5,3,NA,NA,NA,NA,NA,3,4,4,3,3,NA,NA,NA,3,NA,NA,NA,NA,NA,2,NA,2,4,3,3,1,3,2,4,4,5,NA,NA,NA,NA,1,"Female","C","C","B","B",9,14,10,10,9,10,14,16,11,14,11,10,2,1,2,1,2,2,1,4,4,2,3,1,3,5,5,4,4,5,5
4370000,2,0,1,1,1,1,3,4,2,2,2,1,4,4,7,6,5,2,3.5,4,2.5,2.5,6,2,4.5,4.5,2.5,5,4.5,3,4,2,3,3,3,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,2,NA,2,NA,NA,5,2,5,4,5,5,4,4,1,1,2,1,"Female",NA,"C","C","C",7,10,4,6,5,8,12,15,8,13,9,10,3,2,2,1,2,2,2,5,5,4,5,2,5,5,3,4,5,1,5
4371000,2,0,1,1,1,1,3,4,NA,1,2,2,3.5,5,5,4.5,6.5,7,7,3.5,7,5,5.5,6,7,6,7,5,6,5.5,5,4.5,2,3,4,3,4,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,4,3,3,5,4,5,5,5,5,6,5,1,NA,3,2,"Female","C","D","C","B",14,15,10,14,12,10,14,16,6,14,11,9,2,2,2,2,2,3,2,5,5,5,5,4,5,4,5,5,4,4,5
4372000,2,0,1,NA,1,1,2,NA,1,1,NA,NA,5,3.5,4.5,3,4.5,7,7,7,5,5,7,5,6,5,4,NA,NA,NA,NA,NA,3,2,2,2,1,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,1,2,2,5,5,5,5,5,5,5,NA,1,NA,3,1,"Female","D","C","D","D",7,9,6,1,5,4,14,12,6,12,6,9,1,1,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,4
4374000,2,0,1,NA,1,1,3,NA,4,3,NA,NA,3.5,6,7,4,5.5,2.5,3,3,4,5.5,6,4.5,5,4,3.5,NA,NA,NA,NA,NA,3,4,4,4,4,NA,NA,NA,3,NA,NA,NA,NA,4,NA,NA,3,4,4,3,4,3,1,2,3,5,NA,0,6,2,2,"Female","B","C","B","B",13,15,8,13,12,10,14,11,8,11,11,10,3,2,3,2,3,2,2,3,2,1,3,4,3,1,1,2,3,4,2
4375000,2,0,1,1,1,1,3,6,1,2,2,2,5.5,4.5,5.5,3.5,4,3.5,1.5,3.5,1,7,6.5,4,6.5,4.5,6.5,5,4,6,4,4.5,2,4,2,4,2,NA,NA,3,NA,3,NA,NA,NA,NA,NA,NA,2,4,2,4,2,2,5,5,5,5,6,NA,NA,NA,1,"Female","B","D","B","D",14,15,10,10,9,10,5,10,9,5,9,7,1,1,1,2,2,2,2,5,5,5,2,2,4,4,4,2,4,3,2
4376000,2,0,1,1,1,1,3,2,3,3,1,1,4.5,1,4,1.5,4,4.5,2.5,3,4,4,5,1,2,3,4,6,3,6,3.5,5,4,4,4,4,5,NA,NA,2,NA,NA,NA,NA,NA,NA,3,2,4,4,4,4,5,4,4,4,2,5,6,0,NA,2,2,"Female","B","B","B","B",14,14,8,13,10,9,13,8,5,6,10,7,3,3,3,3,2,3,3,2,4,4,4,5,4,5,5,5,5,5,5
4377000,2,0,1,1,1,1,4,3,3,3,1,3,5.5,5,5.5,3,5.5,5,6.5,5.5,1.5,4.5,4.5,5.5,5.5,2,5.5,5,5,4,2,6,3,3,4,4,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,3,3,4,3,5,5,5,4,5,5,1,1,0,3,4,2,"Female","B","C","C","B",14,15,10,14,11,9,14,12,6,10,9,9,2,2,2,2,2,2,2,5,5,4,5,5,5,5,5,5,4,4,5
4382000,2,0,1,NA,1,1,4,NA,1,1,NA,NA,6,7,5.5,5.5,4.5,5,7,7,6,1.5,7,7,7,7,4,NA,NA,NA,NA,NA,1,3,2,3,2,NA,NA,NA,1,NA,NA,NA,NA,NA,2,2,3,4,2,2,5,5,5,5,5,5,NA,1,1,2,2,"Female","C","E or lower","C","D",12,12,9,8,10,7,11,10,7,10,6,8,2,1,1,2,2,2,1,5,5,5,5,5,2,5,5,5,4,5,2
4384000,2,0,1,NA,1,1,2,NA,2,2,NA,NA,4,4.5,4,3.5,4,4.5,6.5,3,4.5,2,4,4.5,5.5,4,4.5,NA,NA,NA,NA,NA,5,2,2,4,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,3,4,3,4,3,3,3,1,NA,0,1,2,2,"Female","B","A","D","D",NA,NA,NA,NA,NA,NA,13,13,9,14,12,9,3,1,1,1,1,1,1,3,3,3,4,3,4,4,4,1,1,1,4
4387000,2,0,0,NA,1,1,5,NA,3,1,NA,NA,4,4,3,5.5,4.5,7,6,3.5,6,2,7,6.5,3.5,6.5,7,NA,NA,NA,NA,NA,4,5,5,5,5,NA,NA,NA,NA,4,NA,NA,NA,NA,4,3,4,5,5,5,5,5,5,5,5,6,NA,0,NA,2,1,"Female","A","B","A","A",12,12,6,11,7,9,14,12,6,11,9,9,3,3,3,2,2,2,2,5,5,5,5,5,5,5,5,4,5,4,2
4389000,2,0,1,NA,1,1,5,NA,1,4,NA,NA,5.5,6,7,5,5.5,7,7,7,3.5,0.5,6,3,6,4,4.5,NA,NA,NA,NA,NA,3,3,4,3,3,NA,NA,3,3,NA,NA,NA,NA,NA,NA,2,4,2,3,2,5,3,5,5,5,6,NA,0,NA,1,1,"Female","C","C","C","B",12,13,9,9,7,10,12,11,10,12,11,10,2,2,2,2,2,2,2,5,5,5,3,5,2,5,5,5,3,5,2
4390000,2,0,1,1,1,1,4,4,1,1,4,4,4.5,5,5,2,6,6.5,5,4,1.5,2,6.5,3.5,4,1,6.5,4.5,6.5,4,4.5,4,5,4,4,5,4,NA,NA,3,NA,NA,NA,NA,NA,2,NA,4,4,4,3,5,4,4,5,5,5,6,6,0,6,2,1,"Female","A","A","B","B",12,9,8,6,3,9,14,15,6,5,10,8,2,2,2,2,2,2,2,5,5,5,4,4,5,5,5,5,3,3,5
4391000,2,0,1,0,1,1,6,6,4,2,1,1,3.5,6.5,5,5.5,5.5,3,3.5,5.5,7,7,5.5,5.5,5,6.5,7,6.5,6,6.5,7,6.5,5,4,5,5,4,NA,NA,3,NA,NA,NA,NA,NA,3,NA,4,4,4,5,5,2,2,2,3,4,6,6,0,4,4,1,"Female","A","A","B","A",13,16,10,11,10,10,14,14,8,9,12,8,3,3,3,3,3,3,3,4,3,2,2,2,5,5,2,2,5,1,5
4392000,2,0,1,1,1,1,6,4,4,4,1,4,6,3,6,3.5,6.5,3.5,3,4,1,4,5,1,4.5,3,4.5,7,1.5,6.5,4.5,4.5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,3,5,5,5,NA,1,0,2,4,1,"Female",NA,"D",NA,NA,14,15,6,11,7,10,14,9,4,9,4,9,2,2,2,2,3,3,2,5,5,5,3,5,3,5,5,5,4,5,5
4393000,2,0,1,1,1,1,3,3,1,1,1,1,6.5,5,7,3,6,7,4,6,7,3.5,5.5,4,6.5,4.5,6,5,3,5,5,4.5,3,2,3,3,NA,2,NA,3,NA,3,NA,NA,NA,NA,NA,3,3,4,4,5,5,5,4,5,5,5,5,0,6,4,1,"Female","C","C","D","C",9,13,8,6,9,9,14,15,9,9,9,10,2,2,2,2,2,2,2,5,5,4,5,5,5,2,2,4,4,5,4
4395000,2,0,1,NA,1,1,4,NA,1,1,NA,NA,4,4.5,5,3,5.5,4.5,7,7,3.5,3,6.5,4,6,2.5,5.5,NA,NA,NA,NA,NA,3,3,NA,3,3,NA,NA,3,1,2,NA,NA,NA,NA,NA,3,3,NA,3,4,4,5,4,4,4,5,NA,0,4,4,2,"Female","C","C","C",NA,9,6,4,11,5,8,13,9,10,9,8,9,2,1,3,1,3,3,2,4,4,4,5,4,4,4,3,3,4,4,2
4396000,2,0,1,0,1,1,5,4,2,3,3,2,4,6,5.5,5.5,7,1,6,6.5,1.5,5,4.5,6.5,3,6,6.5,4.5,6,5,5.5,6.5,4,4,3,4,4,NA,NA,NA,NA,3,NA,NA,NA,NA,3,NA,3,4,4,5,4,5,2,5,4,6,6,0,3,2,2,"Female","B","B","B","C",12,14,10,9,10,10,13,13,4,10,8,8,3,3,3,3,2,3,2,4,5,2,5,4,5,4,4,3,5,4,4
4398000,2,0,1,NA,1,1,5,5,2,2,1,1,4.5,5.5,6,6,6.5,6.5,6.5,3.5,7,7,7,4.5,7,7,7,7,7,7,7,7,5,3,2,5,NA,NA,3,NA,4,4,NA,NA,NA,NA,NA,NA,4,4,4,1,1,2,1,2,3,6,6,0,6,1,2,"Female","A","A","C","D",12,14,9,14,8,8,12,14,7,7,10,3,3,3,3,3,3,3,3,3,2,1,2,1,1,3,3,3,3,4,4
4399000,2,0,1,1,1,1,3,3,3,3,3,2,4,3,5.5,4.5,6.5,3,3.5,6.5,1.5,2,7,4.5,5.5,4.5,6.5,5,4.5,4,6.5,6.5,3,4,2,4,3,NA,NA,NA,NA,3,NA,NA,NA,NA,1,NA,3,4,3,4,4,4,4,4,4,6,6,0,3,2,2,"Female","B","C","B","D",13,16,10,13,12,9,11,10,7,6,10,6,3,2,3,2,3,3,2,4,4,4,4,4,4,5,5,3,3,3,5
4400000,2,0,1,NA,1,1,3,NA,3,1,NA,NA,4,6,4.5,2,6.5,5.5,2,6,3,7,7,5,4.5,5,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,4,5,5,5,4,NA,0,3,2,1,"Female",NA,NA,NA,NA,13,13,10,10,10,10,14,8,7,11,10,10,2,2,3,3,2,3,3,5,5,5,4,5,4,5,5,5,4,5,4
4401000,2,0,1,NA,1,1,3,NA,NA,1,NA,NA,4.5,6,6,6.5,4,4.5,4.5,7,7,7,5,5,7,7,5.5,NA,NA,NA,NA,NA,2,3,3,2,3,NA,NA,NA,NA,NA,NA,NA,2,NA,1,1,3,3,2,5,5,4,3,5,5,5,NA,0,3,5,2,"Female","D","D","C","C",10,11,9,10,8,9,13,13,9,14,12,9,2,3,2,3,2,2,2,5,5,3,4,5,5,5,4,5,4,5,4
4403000,2,0,1,0,1,1,2,5,NA,NA,1,1,5,5.5,4,4,4,7,7,7,7,7,5,7,7,4.5,5,7,4.5,6,6.5,7,5,3,4,4,4,NA,NA,NA,3,NA,NA,NA,NA,NA,4,3,3,4,4,2,1,2,2,2,2,6,6,0,3,2,2,"Female","B","A","C","B",13,16,8,14,11,10,13,13,9,13,12,8,3,3,3,3,3,3,3,2,2,2,2,1,2,4,3,3,4,3,3
4405000,2,0,1,NA,1,1,3,NA,1,1,NA,NA,5.5,4,5.5,3.5,4.5,6.5,2.5,5,5.5,1,6,4,4,5.5,3,NA,NA,NA,NA,NA,3,4,3,2,NA,2,NA,3,NA,1,NA,NA,NA,NA,NA,1,1,3,2,4,3,4,4,2,2,1,NA,1,NA,3,2,"Female","D","C","B","C",12,12,8,7,8,9,10,7,7,4,8,5,2,2,2,2,2,2,2,2,2,4,4,3,4,4,4,3,5,3,5
4406000,2,0,0,NA,0,0,4,NA,4,2,NA,NA,2.5,7,5.5,4,6.5,2,3,5.5,3,3.5,6,5,5,2.5,4.5,NA,NA,NA,NA,NA,4,4,5,3,NA,3,NA,NA,2,NA,NA,NA,NA,NA,3,4,4,3,4,4,2,4,4,4,5,5,NA,0,5,5,1,"Female","C","B","B","A",14,13,5,10,9,7,14,13,5,10,10,7,NA,NA,NA,NA,NA,NA,NA,5,4,4,4,2,4,4,4,3,4,5,4
4407000,2,0,1,1,1,1,3,3,4,2,3,3,4.5,5.5,6,6,6,3.5,3.5,4.5,2.5,5,6.5,3.5,5.5,6.5,6,5,3.5,3.5,2.5,5,4,4,3,3,4,NA,NA,2,NA,3,NA,NA,NA,NA,NA,3,3,4,4,4,4,5,4,5,4,5,5,0,5,5,1,"Female","C","B","B","C",13,13,4,5,4,9,13,10,6,5,4,9,1,1,1,1,2,1,1,4,5,4,5,4,4,5,4,5,5,3,5
4409000,2,0,1,NA,1,1,6,NA,4,3,NA,NA,4.5,4,6.5,3.5,6,7,1.5,6,2.5,3,7,3.5,6,4,5.5,NA,NA,NA,NA,NA,3,3,3,4,4,NA,3,2,NA,NA,NA,NA,NA,NA,NA,3,3,4,4,4,5,4,5,4,5,6,NA,NA,NA,NA,2,"Female","B","C","C","C",13,14,8,11,10,10,14,14,10,11,10,10,2,2,2,1,2,1,1,5,4,5,4,5,4,4,5,3,4,3,4
4410000,2,0,0,NA,0,1,4,NA,2,2,NA,NA,4.5,5.5,6,5,4.5,2.5,2.5,5.5,4.5,2.5,3.5,4,6,4,5.5,NA,NA,NA,NA,NA,4,4,4,4,NA,3,NA,4,NA,4,NA,NA,NA,NA,NA,3,3,4,4,5,3,3,4,4,4,5,NA,0,6,1,1,"Female","B","B","B","B",14,16,10,13,11,9,14,13,9,12,12,9,3,3,3,3,3,3,3,4,4,4,3,3,5,3,3,4,4,2,3
4411000,2,0,1,1,1,1,3,5,1,1,2,2,4.5,6.5,5,3,6,7,3.5,7,7,7,6.5,5,6.5,6,5,6,4,6.5,4.5,5,4,5,4,5,4,NA,NA,NA,NA,4,NA,NA,NA,NA,3,3,3,5,5,4,3,4,5,5,4,1,1,0,5,1,1,"Female","A","B","A","B",14,16,7,14,11,10,14,16,11,14,11,10,3,3,3,3,3,3,3,4,5,5,4,3,4,4,3,3,4,2,3
4412000,2,0,1,NA,1,1,6,NA,4,3,NA,NA,5,4,6,2,2.5,3,3.5,3.5,2.5,5,5.5,5.5,5.5,2,2.5,NA,NA,NA,NA,NA,3,5,5,3,4,NA,NA,3,NA,3,NA,NA,NA,NA,NA,3,3,3,4,5,5,5,5,5,5,6,NA,0,6,1,2,"Female","C","C","A","A",12,11,4,7,8,6,14,11,6,10,9,8,3,3,3,3,3,2,3,5,5,5,5,5,5,2,3,3,4,4,4
4413000,2,0,1,NA,1,1,4,NA,3,3,NA,NA,3,6,6.5,3.5,2.5,2.5,5,5.5,2.5,4,3.5,5.5,6.5,2,1,NA,NA,NA,NA,NA,3,3,4,5,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,2,4,4,5,4,5,5,6,NA,0,6,2,2,"Female","A","C","C","B",11,15,8,8,12,6,5,2,3,7,9,2,3,1,3,1,2,3,1,5,5,4,5,4,4,4,5,5,4,4,4
4415000,2,0,0,0,1,1,3,3,1,1,1,1,4.5,3.5,6,3,6,2.5,2,3.5,1.5,1.5,6,1.5,5.5,4.5,4,5.5,3,4.5,3.5,3.5,3,2,4,2,3,NA,NA,NA,NA,NA,NA,4,4,NA,2,NA,3,4,2,5,5,5,5,5,5,5,6,0,3,2,1,"Female","D","C","D","B",10,9,8,10,7,8,13,11,5,9,8,7,3,3,3,2,2,3,2,5,5,5,5,5,5,5,5,5,5,5,5
4418000,2,0,1,1,1,1,5,4,3,4,1,1,5,5,4.5,2.5,5.5,7,3.5,7,3.5,4.5,7,6.5,4.5,5.5,7,5,4.5,6,5,6,3,2,3,4,3,NA,NA,NA,NA,2,NA,NA,NA,NA,2,3,4,3,2,2,3,3,4,5,4,6,5,NA,NA,NA,2,"Female","B","C","D","C",11,8,8,6,8,8,NA,NA,NA,NA,NA,NA,3,3,3,2,2,3,2,4,5,4,3,3,2,3,3,3,3,3,3
4419000,2,0,1,NA,1,1,6,NA,1,2,NA,NA,4.5,5.5,4.5,3.5,5,5.5,6,3,1.5,1,5,5.5,7,4.5,4.5,NA,NA,NA,NA,NA,4,3,3,2,4,NA,NA,NA,NA,4,NA,NA,NA,NA,2,NA,4,4,3,4,4,4,3,5,5,6,NA,0,4,2,1,"Female","D","B","C","C",14,15,8,10,11,9,14,13,8,12,11,10,3,2,2,3,2,2,3,5,5,3,4,4,4,5,5,5,5,5,5
4420000,NA,NA,1,NA,1,1,3,NA,3,4,NA,NA,7,1.5,7,5.5,6,5,1.5,1,5,6.5,7,2,6.5,4.5,5,NA,NA,NA,NA,NA,5,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,5,4,4,5,5,5,5,6,NA,0,5,2,2,NA,"A","A","A","A",14,15,10,13,12,10,14,16,10,13,11,9,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,4,4,5,5,5,5,5,5
4421000,2,0,0,NA,1,1,3,NA,1,1,NA,NA,5.5,3,4.5,3,6,6.5,3.5,6,7,1.5,6.5,2.5,5,2.5,4.5,NA,NA,NA,NA,NA,3,3,3,2,3,NA,NA,NA,2,NA,NA,NA,NA,NA,2,3,3,3,2,5,3,4,3,4,4,NA,NA,NA,NA,NA,2,"Female","D","C","C","C",13,14,7,11,9,9,10,9,8,11,12,10,3,3,3,3,3,3,3,4,4,3,4,3,5,2,2,1,2,5,5
4422000,2,0,0,NA,0,1,3,NA,NA,4,NA,NA,3.5,5,5,4.5,4.5,4.5,1,3,4,7,4,4.5,5.5,4.5,3.5,NA,NA,NA,NA,NA,3,1,4,2,NA,NA,3,1,NA,3,NA,NA,NA,NA,NA,NA,2,2,NA,4,5,4,5,5,5,5,NA,NA,NA,NA,2,"Female","D","C","E or lower","B",13,11,8,13,7,10,14,11,4,3,8,5,2,2,2,2,2,2,2,5,5,5,4,5,4,5,4,4,3,5,5
4425000,2,0,1,1,1,1,3,2,1,3,2,3,7,4,4.5,2.5,6,7,7,3.5,6,7,6,4.5,2.5,5.5,4.5,7,4.5,5,4.5,6,4,3,5,NA,4,NA,NA,NA,NA,3,NA,NA,NA,3,3,NA,4,3,3,5,5,4,5,5,5,NA,5,0,6,5,2,"Female",NA,"B","C","A",14,11,7,13,10,10,14,16,9,12,10,10,3,2,2,2,2,2,2,5,5,5,4,5,5,4,4,3,3,3,3
4426000,2,0,1,NA,1,1,6,NA,2,4,NA,NA,5.5,5.5,6,2,4,7,3.5,7,7,1.5,6.5,6.5,7,4,6.5,NA,NA,NA,NA,NA,4,2,3,4,3,NA,NA,3,NA,3,NA,NA,NA,NA,NA,2,3,2,3,5,5,5,5,5,5,6,NA,0,6,5,1,"Female","B","B","D","C",12,15,8,8,8,9,13,9,2,9,6,6,2,2,2,2,3,3,2,5,5,5,5,5,5,4,2,1,5,1,4
4427000,2,0,1,NA,1,1,4,NA,1,1,NA,NA,4.5,4,5,4.5,6.5,4,4.5,7,5,6.5,5,4,6.5,4,7,NA,NA,NA,NA,NA,3,3,4,3,NA,NA,2,NA,NA,3,NA,NA,NA,NA,4,3,3,4,4,5,5,5,5,5,5,NA,NA,0,4,2,2,"Female","C","C","C","B",11,14,10,13,11,8,14,15,8,13,10,9,3,3,3,3,3,2,3,5,5,5,5,5,5,3,5,4,3,2,3
4429000,2,0,1,NA,1,1,3,NA,1,1,NA,NA,4.5,4,6.5,4.5,5.5,7,1.5,2,6.5,2.5,6.5,3.5,5.5,5.5,4.5,NA,NA,NA,NA,NA,2,3,2,2,2,NA,NA,4,NA,NA,NA,1,NA,NA,NA,NA,1,NA,3,3,5,4,4,3,2,5,NA,0,NA,2,2,"Female","D","D","C","D",13,12,7,12,8,10,13,12,9,13,12,10,2,2,2,2,2,2,2,2,3,4,4,5,3,3,2,2,3,4,4
4430000,2,0,0,1,1,1,5,3,2,3,1,1,5,5,5.5,6,6.5,5,3,4.5,3,2,7,4.5,6,6.5,7,6.5,3.5,6,4.5,6.5,2,2,3,3,NA,2,NA,NA,2,NA,NA,NA,NA,1,2,2,3,3,3,4,5,5,5,5,5,6,5,0,NA,2,1,"Female","C","D","D","C",12,13,5,5,6,8,13,11,10,13,11,10,2,2,2,3,2,2,3,5,5,5,5,5,4,5,4,3,5,4,3
4432000,2,0,1,NA,1,1,3,NA,1,NA,NA,NA,5.5,5.5,6,6,5.5,5,3,4,4.5,4,6,6,4.5,3,6.5,NA,NA,NA,NA,NA,3,2,3,4,3,NA,NA,1,NA,2,NA,NA,NA,NA,3,2,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,1,5,5,2,"Female","B","C","D","C",13,11,6,14,8,10,14,13,4,13,8,8,3,3,3,3,3,2,3,NA,NA,NA,NA,NA,NA,4,4,5,4,4,5
4433000,2,0,0,0,0,0,3,2,4,2,2,2,1.5,4,6,1.5,3.5,6.5,3.5,7,3.5,3,4.5,5,4,1.5,3.5,3,5,4,4.5,5,4,3,3,5,3,NA,NA,2,NA,NA,NA,NA,NA,NA,3,NA,3,4,4,2,3,5,3,3,5,NA,NA,0,5,5,1,"Female","A","B","C","C",10,14,9,9,12,10,13,9,4,7,1,4,2,2,2,2,2,2,2,5,3,3,5,3,2,5,5,5,5,4,4
4434000,2,0,1,NA,1,1,2,NA,NA,NA,NA,NA,5,4.5,6,5,5,7,3,7,5,1,7,5,4,4,5,NA,NA,NA,NA,NA,2,3,3,4,3,NA,NA,NA,NA,3,NA,3,NA,NA,NA,NA,4,3,2,4,3,3,2,5,4,5,NA,0,5,5,2,"Female","B","D","C","C",14,12,4,14,9,10,11,9,6,6,9,5,1,2,2,2,2,1,1,4,5,2,3,3,4,4,3,2,2,1,4
4435000,2,0,1,NA,0,1,3,NA,NA,NA,NA,NA,6.5,1.5,7,6.5,6,7,1,7,7,6,6.5,4.5,6.5,6.5,4,NA,NA,NA,NA,NA,5,4,4,5,4,NA,NA,4,NA,NA,NA,3,NA,NA,NA,NA,4,5,4,5,5,5,5,5,5,6,NA,NA,NA,NA,2,"Female","A","A","B","B",14,12,6,14,11,10,14,11,7,11,6,8,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5
